,drop_off_hexes,count,day_time
200,89f05ab5d87ffff,9304,Night
199,89f05ab5db3ffff,9304,Night
198,89f05ab4e4bffff,9304,Night
197,89f05ab4e5bffff,9304,Night
196,89f05ab5d17ffff,9304,Night
195,89f05ab5dbbffff,9304,Night
12,89f05ab4e7bffff,9250,Night
16,89f05ab4ad3ffff,9250,Night
15,89f05ab5da7ffff,9250,Night
14,89f05ab4e6bffff,9250,Night
13,89f05ab4e57ffff,9250,Night
10,89f05ab5db7ffff,9250,Night
11,89f05ab5da3ffff,9250,Night
9,89f05ab4e4fffff,9250,Night
8,89f05ab4e47ffff,9250,Night
7,89f05ab4adbffff,9250,Night
568,89f05ab4e43ffff,7800,Night
573,89f05ab4ed3ffff,7800,Night
572,89f05ab4edbffff,7800,Night
571,89f05ab4ec3ffff,7800,Night
569,89f05ab4ecbffff,7800,Night
570,89f05ab4e53ffff,7800,Night
240,89f05ab4a07ffff,7573,Night
244,89f05aa6483ffff,7573,Night
242,89f05ab4a17ffff,7573,Night
241,89f05ab4a83ffff,7573,Night
245,89f05aa648bffff,7573,Night
239,89f05ab4a3bffff,7573,Night
246,89f05ab4a93ffff,7573,Night
251,89f05aa649bffff,7573,Night
250,89f05ab4a8fffff,7573,Night
249,89f05aa6413ffff,7573,Night
247,89f05ab4a67ffff,7573,Night
248,89f05aa6493ffff,7573,Night
243,89f05ab4a2bffff,7573,Night
45,89f05aa609bffff,7100,Night
46,89f05aa608fffff,7100,Night
47,89f05aa6407ffff,7100,Night
48,89f05aa6093ffff,7100,Night
49,89f05aa6083ffff,7100,Night
53,89f05aa6017ffff,7100,Night
54,89f05aa6477ffff,7100,Night
52,89f05aa603bffff,7100,Night
60,89f05aa608bffff,7100,Night
59,89f05aa6467ffff,7100,Night
58,89f05aa642bffff,7100,Night
57,89f05aa600bffff,7100,Night
56,89f05aa6003ffff,7100,Night
51,89f05aa6013ffff,7100,Night
55,89f05aa643bffff,7100,Night
50,89f05aa6007ffff,7100,Night
330,89f05ab4367ffff,5423,Night
331,89f05ab432bffff,5423,Night
332,89f05ab5d8fffff,5423,Night
325,89f05ab5d13ffff,5423,Night
326,89f05ab5d93ffff,5423,Night
327,89f05ab5d9bffff,5423,Night
328,89f05ab5d83ffff,5423,Night
329,89f05ab5d8bffff,5423,Night
336,89f05ab4143ffff,5386,Night
335,89f05ab43a7ffff,5386,Night
334,89f05ab414fffff,5386,Night
333,89f05ab43b7ffff,5386,Night
77,89f05ab4e73ffff,5229,Night
82,89f05ab4e1bffff,5229,Night
81,89f05ab4e0bffff,5229,Night
79,89f05ab4ec7ffff,5229,Night
78,89f05ab4ed7ffff,5229,Night
80,89f05ab4ecfffff,5229,Night
650,89f05aa6087ffff,4546,Night
643,89f05aa60abffff,4546,Night
644,89f05aa6033ffff,4546,Night
645,89f05aa654bffff,4546,Night
646,89f05aa602bffff,4546,Night
647,89f05aa6023ffff,4546,Night
648,89f05aa60a3ffff,4546,Night
649,89f05aa6097ffff,4546,Night
651,89f05aa60b3ffff,4546,Night
652,89f05aa602fffff,4546,Night
653,89f05aa60afffff,4546,Night
63,89f05aa640bffff,4372,Night
70,89f05ab4a6bffff,4372,Night
61,89f05ab4a63ffff,4372,Night
62,89f05aa64cfffff,4372,Night
69,89f05aa641bffff,4372,Night
66,89f05ab4a6fffff,4372,Night
65,89f05aa6447ffff,4372,Night
67,89f05aa64c3ffff,4372,Night
68,89f05ab4a77ffff,4372,Night
76,89f05aa64d7ffff,4372,Night
75,89f05aa64d3ffff,4372,Night
74,89f05aa6463ffff,4372,Night
73,89f05aa6473ffff,4372,Night
64,89f05aa6457ffff,4372,Night
72,89f05ab4a73ffff,4372,Night
71,89f05aa64c7ffff,4372,Night
577,89f05ab432fffff,4330,Night
