,pick_up_hexes,count,day_time
181,89f05ab4e47ffff,15157,Night
182,89f05ab4e4fffff,15157,Night
183,89f05ab5db7ffff,15157,Night
180,89f05ab4adbffff,15157,Night
184,89f05ab5da3ffff,15157,Night
185,89f05ab4e7bffff,15157,Night
186,89f05ab4e57ffff,15157,Night
187,89f05ab4e6bffff,15157,Night
188,89f05ab5da7ffff,15157,Night
189,89f05ab4ad3ffff,15157,Night
15,89f05ab4e43ffff,14484,Night
20,89f05ab4ed3ffff,14484,Night
19,89f05ab4edbffff,14484,Night
18,89f05ab4ec3ffff,14484,Night
16,89f05ab4ecbffff,14484,Night
17,89f05ab4e53ffff,14484,Night
219,89f05ab4e0bffff,14241,Night
218,89f05ab4ecfffff,14241,Night
215,89f05ab4e73ffff,14241,Night
216,89f05ab4ed7ffff,14241,Night
217,89f05ab4ec7ffff,14241,Night
220,89f05ab4e1bffff,14241,Night
88,89f05ab4a07ffff,13468,Night
87,89f05ab4a3bffff,13468,Night
89,89f05ab4a83ffff,13468,Night
99,89f05aa649bffff,13468,Night
91,89f05ab4a2bffff,13468,Night
92,89f05aa6483ffff,13468,Night
93,89f05aa648bffff,13468,Night
94,89f05ab4a93ffff,13468,Night
95,89f05ab4a67ffff,13468,Night
96,89f05aa6493ffff,13468,Night
97,89f05aa6413ffff,13468,Night
90,89f05ab4a17ffff,13468,Night
98,89f05ab4a8fffff,13468,Night
278,89f05ab43b7ffff,13338,Night
281,89f05ab4143ffff,13338,Night
280,89f05ab43a7ffff,13338,Night
279,89f05ab414fffff,13338,Night
30,89f05ab4c1bffff,11776,Night
29,89f05ab4c0bffff,11776,Night
28,89f05ab4c73ffff,11776,Night
27,89f05ab4cc7ffff,11776,Night
258,89f05aa602fffff,10113,Night
256,89f05aa6087ffff,10113,Night
249,89f05aa60abffff,10113,Night
251,89f05aa654bffff,10113,Night
252,89f05aa602bffff,10113,Night
253,89f05aa6023ffff,10113,Night
254,89f05aa60a3ffff,10113,Night
255,89f05aa6097ffff,10113,Night
257,89f05aa60b3ffff,10113,Night
259,89f05aa60afffff,10113,Night
250,89f05aa6033ffff,10113,Night
21,89f05ab5dbbffff,9768,Night
22,89f05ab5d17ffff,9768,Night
23,89f05ab4e5bffff,9768,Night
24,89f05ab4e4bffff,9768,Night
26,89f05ab5d87ffff,9768,Night
25,89f05ab5db3ffff,9768,Night
448,89f05ab5d8fffff,8053,Night
447,89f05ab432bffff,8053,Night
446,89f05ab4367ffff,8053,Night
445,89f05ab5d8bffff,8053,Night
444,89f05ab5d83ffff,8053,Night
443,89f05ab5d9bffff,8053,Night
442,89f05ab5d93ffff,8053,Night
441,89f05ab5d13ffff,8053,Night
276,89f05aa6467ffff,7972,Night
277,89f05aa608bffff,7972,Night
274,89f05aa600bffff,7972,Night
262,89f05aa609bffff,7972,Night
263,89f05aa608fffff,7972,Night
273,89f05aa6003ffff,7972,Night
272,89f05aa643bffff,7972,Night
271,89f05aa6477ffff,7972,Night
270,89f05aa6017ffff,7972,Night
269,89f05aa603bffff,7972,Night
268,89f05aa6013ffff,7972,Night
267,89f05aa6007ffff,7972,Night
266,89f05aa6083ffff,7972,Night
265,89f05aa6093ffff,7972,Night
275,89f05aa642bffff,7972,Night
264,89f05aa6407ffff,7972,Night
149,89f05aa63afffff,6338,Night
148,89f05aa6e4bffff,6338,Night
135,89f05aa6337ffff,6338,Night
136,89f05aa6327ffff,6338,Night
147,89f05aa6ecbffff,6338,Night
146,89f05aa6333ffff,6338,Night
145,89f05aa6e53ffff,6338,Night
144,89f05aa45b3ffff,6338,Night
143,89f05aa6323ffff,6338,Night
142,89f05aa6e43ffff,6338,Night
141,89f05aa6e4fffff,6338,Night
140,89f05aa63a7ffff,6338,Night
139,89f05aa632fffff,6338,Night
138,89f05aa6e5bffff,6338,Night
137,89f05aa63abffff,6338,Night
150,89f05aa6edbffff,6338,Night
246,89f05ab6aa7ffff,5917,Night
248,89f05ab6ab7ffff,5917,Night
247,89f05ab6847ffff,5917,Night
245,89f05ab6bd3ffff,5917,Night
244,89f05ab687bffff,5917,Night
243,89f05ab6b53ffff,5917,Night
242,89f05ab686bffff,5917,Night
241,89f05ab6bcbffff,5917,Night
240,89f05ab6bdbffff,5917,Night
101,89f05ab4c0fffff,5802,Night
100,89f05ab4c8bffff,5802,Night
104,89f05ab4c9bffff,5802,Night
103,89f05ab4c03ffff,5802,Night
102,89f05ab4c13ffff,5802,Night
58,89f05aa6433ffff,5349,Night
57,89f05ab4b4fffff,5349,Night
70,89f05ab4b4bffff,5349,Night
69,89f05aa64abffff,5349,Night
68,89f05aa64b3ffff,5349,Night
59,89f05ab4bcbffff,5349,Night
66,89f05ab4a27ffff,5349,Night
67,89f05aa6497ffff,5349,Night
64,89f05ab4b53ffff,5349,Night
63,89f05aa64bbffff,5349,Night
62,89f05aa6487ffff,5349,Night
61,89f05aa648fffff,5349,Night
60,89f05ab4b5bffff,5349,Night
65,89f05aa6417ffff,5349,Night
108,89f05ab432fffff,5082,Night
107,89f05ab4323ffff,5082,Night
106,89f05ab4333ffff,5082,Night
105,89f05ab5d97ffff,5082,Night
237,89f05ab6a33ffff,5014,Night
232,89f05ab6a27ffff,5014,Night
236,89f05ab6a37ffff,5014,Night
235,89f05ab6aafffff,5014,Night
