,routes,count,day_time
19,89f05ab4adbffff**89f05ab4e47ffff**89f05ab4e4fffff**89f05ab5db7ffff**89f05ab5da3ffff**89f05ab4e7bffff**89f05ab4e57ffff**89f05ab4e6bffff**89f05ab5da7ffff**89f05ab4ad3ffff,15158,Night
1,89f05ab4e43ffff**89f05ab4ecbffff**89f05ab4e53ffff**89f05ab4ec3ffff**89f05ab4edbffff**89f05ab4ed3ffff,14485,Night
23,89f05ab4e73ffff**89f05ab4ed7ffff**89f05ab4ec7ffff**89f05ab4ecfffff**89f05ab4e0bffff**89f05ab4e1bffff,14242,Night
8,89f05ab4a3bffff**89f05ab4a07ffff**89f05ab4a83ffff**89f05ab4a17ffff**89f05ab4a2bffff**89f05aa6483ffff**89f05aa648bffff**89f05ab4a93ffff**89f05ab4a67ffff**89f05aa6493ffff**89f05aa6413ffff**89f05ab4a8fffff**89f05aa649bffff,13469,Night
32,89f05ab43b7ffff**89f05ab414fffff**89f05ab43a7ffff**89f05ab4143ffff,13339,Night
3,89f05ab4cc7ffff**89f05ab4c73ffff**89f05ab4c0bffff**89f05ab4c1bffff,11777,Night
29,89f05aa60abffff**89f05aa6033ffff**89f05aa654bffff**89f05aa602bffff**89f05aa6023ffff**89f05aa60a3ffff**89f05aa6097ffff**89f05aa6087ffff**89f05aa60b3ffff**89f05aa602fffff**89f05aa60afffff,10114,Night
2,89f05ab5dbbffff**89f05ab5d17ffff**89f05ab4e5bffff**89f05ab4e4bffff**89f05ab5db3ffff**89f05ab5d87ffff,9769,Night
58,89f05ab5d13ffff**89f05ab5d93ffff**89f05ab5d9bffff**89f05ab5d83ffff**89f05ab5d8bffff**89f05ab4367ffff**89f05ab432bffff**89f05ab5d8fffff,8054,Night
31,89f05aa609bffff**89f05aa608fffff**89f05aa6407ffff**89f05aa6093ffff**89f05aa6083ffff**89f05aa6007ffff**89f05aa6013ffff**89f05aa603bffff**89f05aa6017ffff**89f05aa6477ffff**89f05aa643bffff**89f05aa6003ffff**89f05aa600bffff**89f05aa642bffff**89f05aa6467ffff**89f05aa608bffff,7973,Night
13,89f05aa6337ffff**89f05aa6327ffff**89f05aa63abffff**89f05aa6e5bffff**89f05aa632fffff**89f05aa63a7ffff**89f05aa6e4fffff**89f05aa6e43ffff**89f05aa6323ffff**89f05aa45b3ffff**89f05aa6e53ffff**89f05aa6333ffff**89f05aa6ecbffff**89f05aa6e4bffff**89f05aa63afffff**89f05aa6edbffff,6339,Night
28,89f05ab6bdbffff**89f05ab6bcbffff**89f05ab686bffff**89f05ab6b53ffff**89f05ab687bffff**89f05ab6bd3ffff**89f05ab6aa7ffff**89f05ab6847ffff**89f05ab6ab7ffff,5918,Night
9,89f05ab4c8bffff**89f05ab4c0fffff**89f05ab4c13ffff**89f05ab4c03ffff**89f05ab4c9bffff,5803,Night
6,89f05ab4b4fffff**89f05aa6433ffff**89f05ab4bcbffff**89f05ab4b5bffff**89f05aa648fffff**89f05aa6487ffff**89f05aa64bbffff**89f05ab4b53ffff**89f05aa6417ffff**89f05ab4a27ffff**89f05aa6497ffff**89f05aa64b3ffff**89f05aa64abffff**89f05ab4b4bffff,5350,Night
